term,normalized_term,category
"Hypersomnolences, Idiopathic CNS",idiopathic cns,psychology
"Neuroses, Posttraumatic",posttraumatic,psychology
Anterograde Amnesia,anterograde amnesia,psychology
Periodic Hypersomnia,period hypersomnia,psychology
"Health, Attitude to",healthy attitude,psychology
"Agnosias, Auditory",auditory,psychology
Sibling,sibling,psychology
"Industries, Sex",industries sex,psychology
Emotions,emotional,psychology
"Apraxias, Limb Kinetic",limb kinetic,psychology
Critical Thinking,critical thinking,psychology
Marijuana Dependence,marijuana dependent,psychology
"Hallucinations, Visual",hallucination visual,psychology
"Review, Research Peer",review research peer,psychology
Migratory Pain,migratory pain,psychology
"Responses, Galvanic Skin",response galvanic skin,psychology
Retention (Psychology),retention psychological,psychology
Dominance-Subordinations,dominant,psychology
Spatial Memories,spatial memories,psychology
Childhood Sleep Bruxisms,childhood sleep,psychology
"Disorders, Sexual Arousal",disorder sexual arousal,psychology
"Syndrome, Long Sleeper",syndrome long,psychology
Eating Disorder,eating disorder,psychology
Dyschirias,,psychology
Form perception,form perception,psychology
Gelineau Syndrome,syndrome,psychology
"Hierarchy, Dominance",hierarchy dominant,psychology
Asperger Diseases,asperger disease,psychology
Dressing Apraxia,dressing apraxia,psychology
Laughter,laughter,psychology
Health Care Acceptors,healthy care acceptor,psychology
"Personalities, Obsessive-Compulsive",person obsessive compulsive,psychology
"Drinking, Teen",drinking teen,psychology
"Insomnia, Chronic",insomnia chronic,psychology
Disclosure,disclosure,psychology
Job Stress,job stress,psychology
Depersonalization Disorder,depersonalization disorder,psychology
Languages,language,psychology
Response Latency,response latency,psychology
"Refusals, Treatment",refusal treatment,psychology
Moral Status,moral status,psychology
Generations,generation,psychology
"Catatonias, Lethal",lethal,psychology
"Disorder, Antisocial Personality",disorder antisocial personality,psychology
Mind-Body Relations (Physiology),mind body relationship physiological,psychology
"Renal Colic, Acute",renal colic acute,psychology
Sleep-Wake Cycle Disorder,sleep wake cycle disorder,psychology
Implicit knowledge,implicit knowledge,psychology
Cognitive Rumination,cognitive rumination,psychology
"Brain Dysfunction, Minimal",brain dysfunction minimal,psychology
"Anxiety Disorder, Separation",anxiety disorder separation,psychology
Motor praxis,motor praxis,psychology
Nicotine Use Disorder,nicotine use disorder,psychology
"Syndromes, Substance Withdrawal",syndrome substance withdrawal,psychology
Researcher-Subject Relations,research subject relationship,psychology
Tourette's Disorder,tourette disorder,psychology
Gustatory Hallucination,gustatory hallucination,psychology
Time Zone Syndromes,time zone syndrome,psychology
Operant Conditioning,operant conditioning,psychology
Impulsive Behavior,impulsive behavior,psychology
"Abstinence, Postpartum",abstinence postpartum,psychology
Filtering,filtering,psychology
"Syndromes, Visual Disorientation",syndrome visual disorientation,psychology
Parents,parent,psychology
"Milk Collection, Breast",milk collection breast,psychology
Alcoholic Wernicke Korsakoff Syndrome,alcohol wernicke korsakoff syndrome,psychology
"tone discrimination, sound discrimination",tone discrimination sound discrimination,psychology
Sentence production,sentence production,psychology
"Syndrome, Gerstmann-Badal",syndrome gerstmann,psychology
"Abuse, Inhalant",abuse inhalant,psychology
"Disorder, Bipolar",disorder bipolar,psychology
"Languages, Body",language body,psychology
"Deprivation, Paternal",deprivation paternal,psychology
Secondary Traumatizations,secondary,psychology
Dissociative Reactions,dissociation reaction,psychology
Creutzfeldt-Jakob Syndrome,creutzfeldt jakob syndrome,psychology
Self Esteem,self esteem,psychology
"Student Drinking, University",student drinking university,psychology
"Deteriorations, Mental",deterioration mental,psychology
Cognitive Functions,cognitive function,psychology
Excessive Somnolence Disorder,excessive somnolence disorder,psychology
Attentional bias,attentional bias,psychology
"Behaviors, Firesetting",behavior,psychology
"Curricula, Problem-Based",curriculum problem based,psychology
"Disorders, Psychotic",disorders psychotic,psychology
Pitch Discrimination,pitch discrimination,psychology
"Perceptions, Auditory",perception auditory,psychology
Kinship Networks,kinship network,psychology
Stereopsis,stereopsis,psychology
Brief Reactive Psychoses,brief reactive psychosis,psychology
"Personality, Passive-Aggressive",person passive aggressive,psychology
"Disorders, Sexual Aversion",disorder sexual aversion,psychology
Public Speaking,public speaking,psychology
Henneberg Syndrome,syndrome,psychology
"Functions, Cognitive",function cognitive,psychology
Latency Period (Psychology),latency period psychological,psychology
"Blindnesses, Pure Word",pure word,psychology
Mothers' Clubs,mother club,psychology
"Sucking, Thumb",sucking thumb,psychology
Saccadic eye movement,saccadic eye movement,psychology
Depressive Symptom,depressive symptom,psychology
Phonological Disorders,phonological disorder,psychology
"Disorders, Eating",disorder eating,psychology
Asperger's Syndrome,asperger syndrome,psychology
Auditory Illusions,auditory illusion,psychology
Working memory,working memory,psychology
Utility,utility,psychology
"Apraxias, Gait",gait,psychology
"Syndrome, Anarchic Hand",syndrome hand,psychology
"Stigma, Social",stigma social,psychology
Extended Family,extended family,psychology
Traumatic Stress Disorder,traumatic stress disorder,psychology
Proprioceptions,,psychology
"Behavior, Self-Injurious",behavior self injurious,psychology
"Global Dyslexia, Acquired",global dyslexia acquired,psychology
Dementia Multi Infarct,dementia multi infarction,psychology
"Behavior, Searching",behavior searching,psychology
Diffuse Neurofibrillary Tangles with Calcification,diffuse neurofibrillary tangles calcification,psychology
"Curriculum, Problem-Based",curriculum problem based,psychology
Social Disorganization,social disorganized,psychology
Functional Laterality,functional laterality,psychology
Secondary Night Terrors,secondary night,psychology
Blindsight,blindsight,psychology
"Polydipsias, Psychogenic",psychogenic,psychology
"Disorder, Reading",disorder reading,psychology
Analogical problem solving,analogical problem solving,psychology
Auditory working memory,auditory working memory,psychology
Doctor-Patient Relations,doctor patient relationship,psychology
"Drinking Ages, Minimum",drinking ages minimum,psychology
Workplace Incivility,workplace,psychology
"Attachment Disorder, Reactive",attachment disorder reactive,psychology
"Schema, Body",schema body,psychology
Scapegoating,,psychology
"Preferences, Intertemporal",preference intertemporal,psychology
Food Selection,food selection,psychology
"Self-Harm, Deliberate",self harm deliberate,psychology
Communication,communication,psychology
"Personalities, Hysterical",person,psychology
Psychogenic Parasitoses,psychogenic,psychology
Long-Term Memories,long term memories,psychology
Nesting Behavior,nesting behavior,psychology
Compliant Behaviors,complaints behavior,psychology
Optical illusion,optical illusion,psychology
"Communications, Partner",communication partner,psychology
"Syndromes, Nocturnal Eating-Drinking",syndrome nocturnal eating drinking,psychology
Autonomic nervous system function,autonomic nervous system function,psychology
Discourse processing,discourse processing,psychology
One-Person Households,one person household,psychology
Conscience,conscience,psychology
Seasonal Affective Disorders,seasonal affective disorder,psychology
"Depression, Neurotic",depression neuroticism,psychology
Host Mothers,host mother,psychology
"Delirium Tremens, Alcohol Withdrawal Induced",delirium alcohol withdrawal induced,psychology
Fear,fear,psychology
Animal Sound Communication,animal sound communication,psychology
Intention,intention,psychology
Involuntary attention,involuntary attention,psychology
"Peer Reviews, Publishing",peer review publishing,psychology
Language acquisition,language acquisition,psychology
Group Meetings,group meetings,psychology
Personality Type A,person type,psychology
"Feeding, Bottle",feeding bottle,psychology
consideration,consideration,psychology
Discourse production,discourse production,psychology
"Self Examination, Breast",self examination breast,psychology
"Lobe Dementia, Frontotemporal",lobe dementia frontotemporal,psychology
Analogical reasoning,analogical reasoning,psychology
"Reserve, Brain",reserve brain,psychology
Cannabis Smoking,cannabis smoking,psychology
Ceremonial Behavior,behavior,psychology
"Academic Disorder, Developmental",academic disorder development,psychology
Reaction Times,reaction time,psychology
Patient Acceptance of Healthcare,patient acceptance healthcare,psychology
Healthy Ageing,healthy ageing,psychology
"Conflicts, Interparental",conflict,psychology
Military Families,military families,psychology
"Anxiety Disorder, Social",anxiety disorder social,psychology
Familial Creutzfeldt-Jakob Disease,familiar creutzfeldt jakob disease,psychology
Oral Dyspraxias,oral,psychology
Orthography,orthographic,psychology
Pica,pica,psychology
"Losses, Post-Ictal Memory",losses post ictal memory,psychology
Underage Drinking,drinking,psychology
Associative priming,associated priming,psychology
Wernicke's Encephalopathy,wernicke encephalopathy,psychology
"Hypersomnolences, Idiopathic",idiopathic,psychology
Extraversion (Psychology),extraversion psychological,psychology
Phantom Limb Pain,phantom limb pain,psychology
"Hallucinations, Dissociative",hallucination dissociation,psychology
"Disturbances, Emotional",disturbance emotional,psychology
"Nocturnus, Adult Pavor",adult,psychology
Pseudoneurotic Schizophrenia,schizophrenia,psychology
"Behaviors, Illegal",behavior illegal,psychology
"Agnosias, Ideational",ideation,psychology
REM Sleep Related Sinus Arrest,rem sleep related sinus arrest,psychology
"Complex, AIDS-Related Dementia",complex aids related dementia,psychology
"just noticeable difference, JND",noticeable difference,psychology
Repressed Memory,repressed memory,psychology
"Sound Disorder, Speech",sound disorder speech,psychology
"Learnings, Discrimination",discrimination,psychology
Married Persons,married person,psychology
"Encephalopathy, Chronic Progressive Subcortical",encephalopathy chronic progressive subcortical,psychology
Impulse Control Disorders,impulse control disorders,psychology
Paternal Behavior,paternal behavior,psychology
"Behavior, Feeding",behavior feeding,psychology
Time Agnosias,time,psychology
Obsessive-Compulsive Disorders,obsessive compulsive disorder,psychology
Chronic Motor and Vocal Tic Disorder,chronic motor vocal tic disorder,psychology
"Extinctions, Psychological",extinction psychological,psychology
Semantic Memory Disorders,semantic memory disorder,psychology
"Dementias, GRN-Related Frontotemporal",dementia grn related frontotemporal,psychology
Color constancy,color constant,psychology
Lexical processing,lexical processing,psychology
Token Reinforcement,token reinforcement,psychology
